Topology,Traffic,InjectionRate,Throughput,PacketsInjected,PacketsReceived,AvgTotalLatency,AvgHops
Hier3D_Chiplet_Z1,uniform_random,0.340,0.165267,106031,105771,103.9301,4.4780
Hier3D_Chiplet_Z2,uniform_random,0.060,0.029866,19131,19114,14.8319,4.2226
Hier3D_Chiplet_Z1,uniform_random,0.280,0.139697,89543,89406,14.9632,4.3060
Hier3D_Chiplet_Z2,uniform_random,0.040,0.019681,12618,12596,14.7128,4.1951
Hier3D_Chiplet_Z2,uniform_random,0.100,0.049886,31970,31927,14.9510,4.2247
Hier3D_Chiplet_Z1,uniform_random,0.120,0.059767,38312,38251,13.7448,4.2112
Hier3D_Chiplet_Z1,uniform_random,0.360,0.164441,105581,105242,237.6784,4.4850
Hier3D_Chiplet_Z2,uniform_random,0.140,0.069473,44515,44463,15.1628,4.2333
Cluster3D_Hub_Z4,uniform_random,0.500,0.009386,6853,6007,2991.3053,5.4834
Hier3D_Chiplet_Z2,uniform_random,0.200,0.099542,63801,63707,15.8885,4.2744
Hier3D_Chiplet_Z1,uniform_random,0.400,0.157575,101286,100848,494.0311,4.4432
Hier3D_Chiplet_Z2,uniform_random,0.160,0.079442,50920,50843,15.2923,4.2358
Hier3D_Chiplet_Z2,uniform_random,0.180,0.089622,57428,57358,15.5543,4.2542
Hier3D_Chiplet_Z2,uniform_random,0.120,0.059761,38312,38247,15.0281,4.2199
Hier3D_Chiplet_Z2,uniform_random,0.220,0.109556,70205,70116,16.4389,4.2841
Hier3D_Chiplet_Z1,uniform_random,0.480,0.139875,90047,89520,1008.3016,4.4541
Hier3D_Chiplet_Z1,uniform_random,0.440,0.156414,100632,100105,719.9720,4.4888
Hier3D_Chiplet_Z4,uniform_random,0.020,0.009969,6387,6380,17.1892,4.2011
Hier3D_Chiplet_Z4,uniform_random,0.100,0.049866,31970,31914,17.8465,4.2370
Hier3D_Chiplet_Z2,uniform_random,0.280,0.118544,76222,75868,295.9822,4.4104
Hier3D_Chiplet_Z1,uniform_random,0.380,0.160677,103212,102833,260.4454,4.4904
Hier3D_Chiplet_Z4,uniform_random,0.120,0.059737,38312,38232,18.3382,4.2413
Hier3D_Chiplet_Z1,uniform_random,0.460,0.156608,100764,100229,1000.5601,4.4723
Hier3D_Chiplet_Z2,uniform_random,0.320,0.118903,76558,76098,606.9066,4.4540
Hier3D_Chiplet_Z2,uniform_random,0.420,0.108942,70301,69723,1393.2635,4.3987
Hier3D_Chiplet_Z2,uniform_random,0.240,0.119591,76649,76538,19.1791,4.3568
Hier3D_Chiplet_Z4,uniform_random,0.160,0.077094,49551,49340,110.2293,4.4398
Hier3D_Chiplet_Z4,uniform_random,0.140,0.069441,44515,44442,19.4635,4.2742
Hier3D_Chiplet_Z2,uniform_random,0.260,0.122675,78811,78512,203.0878,4.4460
Hier3D_Chiplet_Z2,uniform_random,0.360,0.109523,70628,70095,843.1967,4.4587
Hier3D_Chiplet_Z1,uniform_random,0.420,0.144047,92718,92190,778.2224,4.4944
Hier3D_Chiplet_Z4,uniform_random,0.080,0.039816,25513,25482,17.4719,4.2089
Hier3D_Chiplet_Z2,uniform_random,0.440,0.090884,58740,58166,1315.3051,4.4003
Hier3D_Chiplet_Z2,uniform_random,0.460,0.093373,60302,59759,1561.3521,4.4167
Hier3D_Chiplet_Z4,uniform_random,0.180,0.075675,48763,48432,335.0044,4.4378
Hier3D_Chiplet_Z2,uniform_random,0.380,0.105317,67950,67403,972.8150,4.4421
Hier3D_Chiplet_Z2,uniform_random,0.340,0.111941,72185,71642,520.0596,4.4684
Hier3D_Chiplet_Z1,uniform_random,0.500,0.145369,93583,93036,1179.5917,4.4364
Hier3D_Chiplet_Z4,uniform_random,0.060,0.029859,19131,19110,17.4285,4.2282
Hier3D_Chiplet_Z4,uniform_random,0.040,0.019678,12618,12594,17.2188,4.1973
