Topology,Traffic,InjectionRate,Throughput,PacketsInjected,PacketsReceived,AvgTotalLatency,AvgHops
Hier3D_Chiplet_Z4,uniform_random,0.220,0.064298,41617,41151,1208.2433,4.1413
Hier3D_Chiplet_Z4,uniform_random,0.300,0.059003,38313,37762,2243.6240,4.1364
Hier3D_Chiplet_Z4,uniform_random,0.460,0.057133,37113,36565,3204.2268,4.1374
Hier3D_Chiplet_Z4,uniform_random,0.340,0.061936,40186,39639,2536.0292,4.1371
Hier3D_Chiplet_Z4,uniform_random,0.320,0.055752,36200,35681,2599.7652,4.1927
Hier3D_Chiplet_Z4,uniform_random,0.480,0.059395,38566,38013,3510.2130,4.1514
Hier3D_Chiplet_Z4,uniform_random,0.420,0.054055,35120,34595,3168.8974,4.1680
Hier3D_Chiplet_Z4,uniform_random,0.280,0.059475,38602,38064,1877.0148,4.1320
Hier3D_Chiplet_Z4,uniform_random,0.380,0.053167,34538,34027,2985.6787,4.1660
Hier3D_Chiplet_Z4,uniform_random,0.400,0.053375,34696,34160,3085.1858,4.1773
Hier3D_Chiplet_Z4,uniform_random,0.500,0.062436,40479,39959,2976.8155,4.1451
Hier3D_Chiplet_Z4,uniform_random,0.440,0.058803,38150,37634,2988.4585,4.1824
